#,#,#,26,26,26,26,26,26,26,26,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,29,29,30,30,30,31,32,32,32,32,33,33,
#,#,#,Name,Axis length - X,Axis size - X,Axis spacing - X,Axis length - Y,Axis size - Y,Axis spacing - Y,NM-points ratio - Z,Sq,Ssk,Sku,Sp,Sv,Sz,Sa,Smr (c = 1000 nm below highest peak),Smc (p = 10%),Sxp (p = 50%  q = 97.5%),Sal (s = 0.2),Str (s = 0.2),Std (Reference angle = 0°),Ssw,Sdq,Sdr,Vm (p = 10%),Vv (p = 10%),Vmp (p = 10%),Vmc (p = 10%  q = 80%),Vvc (p = 10%  q = 80%),Vvv (p = 80%),Maximum depth of furrows,Mean depth of furrows,Mean density of furrows,First direction,Second direction,Third direction,Texture isotropy,Fractal complexity (Asfc),Scale of max complexity (Smfc),HAsfc9 (HAsfc9),HAsfc81 (HAsfc81),Length-scale anisotropy (Sfrax) (epLsar),Length-scale anisotropy (NewEplsar),
#,#,#,<no unit>,µm,points,µm,µm,points,µm,%,nm,<no unit>,<no unit>,nm,nm,nm,nm,%,nm,nm,µm,<no unit>,°,µm,<no unit>,%,µm³/µm²,µm³/µm²,µm³/µm²,µm³/µm²,µm³/µm²,µm³/µm²,nm,nm,cm/cm2,°,°,°,%,<no unit>,µm²,<no unit>,<no unit>,<no unit>,<no unit>,
2024/06/17,11:36:22,D:\Data\Riczar\10_Mountains-analysis\ConfoMap_shift-extract files\ISEA-2_STA --- ISEA-Chert-A2_LSM_20x-0.70_dorsal_loc2_shift-extract_0strokes.mnt,ISEA-Chert-A2_LSM_20x-0.70_dorsal_loc2_shift-extract_0strokes > S-filtered (Lambda-s 2.50 µm) > Leveled (LS-plane) > Form removed (LS-poly 8) > Outliers removed > Thresholded (0.100 % ; 99.9 %),100.045928,690,0.1452045399,100.045928,690,0.1452045399,0.199957992,349.8896254,0.005892108756,3.190011823,1191.993265,1161.175341,2353.168606,274.2824051,28.03454602,447.0842541,703.6711584,4.673458305,0.8550711355,126.0086235,0.4248838084,0.303619164,4.321962084,0.01751556783,0.4646131539,0.01751556783,0.305459451,0.4228891574,0.0417239965,1599.459414,586.1756967,4574.758912,90.00683647,134.9670835,179.9888471,87.52977867,9.72159104,1.360871583,0.1452310873,0.3296375071,0.0001783596202,0.01762161994,
2024/06/17,11:36:36,D:\Data\Riczar\10_Mountains-analysis\ConfoMap_shift-extract files\ISEA-2_STA --- ISEA-Chert-A2_LSM_20x-0.70_dorsal_loc2_shift-extract_2000strokes.mnt,ISEA-Chert-A2_LSM_20x-0.70_dorsal_loc2_shift-extract_2000strokes > S-filtered (Lambda-s 2.50 µm) > Leveled (LS-plane) > Form removed (LS-poly 8) > Outliers removed > Thresholded (0.100 % ; 99.9 %),100.045928,690,0.1452045399,100.045928,690,0.1452045399,0.1997479521,222.2366466,-1.247141242,5.676776381,548.5773866,1190.113005,1738.690391,161.7456811,95.34299434,241.5628405,605.8156197,5.373929327,0.670449154,163.2450334,0.4248838084,0.1216902676,0.720269765,0.006467010627,0.2480098108,0.006467010627,0.165765062,0.2052423831,0.04276742768,1286.006276,295.5184557,3274.569383,153.5435805,179.9957071,135.0276383,63.31172478,1.113322805,2.413106924,0.4577373686,1.298966214,0.003395016128,0.01899744593,
2024/06/17,11:36:50,D:\Data\Riczar\10_Mountains-analysis\ConfoMap_shift-extract files\ISEA-2_STA --- ISEA-Chert-A2_LSM_20x-0.70_ventral_loc1_shift-extract_0strokes.mnt,ISEA-Chert-A2_LSM_20x-0.70_ventral_loc1_shift-extract_0strokes > S-filtered (Lambda-s 2.50 µm) > Leveled (LS-plane) > Form removed (LS-poly 8) > Outliers removed > Thresholded (0.100 % ; 99.9 %),100.045928,690,0.1452045399,100.045928,690,0.1452045399,0.1997479521,446.8711897,0.1373829545,3.346053946,1669.747062,1411.118555,3080.865617,349.597948,7.213608701,572.9747517,872.5569399,5.343607224,0.497648765,132.5038424,0.4248838084,0.3185341259,4.756884232,0.02506638279,0.5980058427,0.02506638279,0.3835668294,0.5475541307,0.05045171193,1903.730395,691.3021038,4530.891007,134.9954663,89.99859244,179.9922235,59.29340595,10.28649934,1.276959754,0.1046733266,0.3232642325,0.0033047341,0.01757006626,
2024/06/17,11:37:05,D:\Data\Riczar\10_Mountains-analysis\ConfoMap_shift-extract files\ISEA-2_STA --- ISEA-Chert-A2_LSM_20x-0.70_ventral_loc1_shift-extract_2000strokes.mnt,ISEA-Chert-A2_LSM_20x-0.70_ventral_loc1_shift-extract_2000strokes > S-filtered (Lambda-s 2.50 µm) > Leveled (LS-plane) > Form removed (LS-poly 8) > Outliers removed > Thresholded (0.100 % ; 99.9 %),100.045928,690,0.1452045399,100.045928,690,0.1452045399,0.2001680319,217.0311102,-1.181412381,5.746419644,491.4452053,1192.884801,1684.330006,160.114901,96.83000566,243.499822,584.9281091,4.578330861,0.4839816789,176.003693,0.4248838084,0.1251611488,0.7542853303,0.006075002548,0.2495868687,0.006075002548,0.1609509051,0.210185014,0.03940185469,1391.395123,308.7307657,3225.258894,179.9931927,135.0273936,89.98143026,47.88219123,1.104924391,16.2845077,0.4370126652,2.099656438,0.003884469442,0.01879352157,
2024/06/17,11:37:19,D:\Data\Riczar\10_Mountains-analysis\ConfoMap_shift-extract files\ISEA-2_STA --- ISEA-Chert-A2_LSM_20x-0.70_ventral_loc2_shift-extract_0strokes.mnt,ISEA-Chert-A2_LSM_20x-0.70_ventral_loc2_shift-extract_0strokes > S-filtered (Lambda-s 2.50 µm) > Leveled (LS-plane) > Form removed (LS-poly 8) > Outliers removed > Thresholded (0.100 % ; 99.9 %),100.045928,690,0.1452045399,100.045928,690,0.1452045399,0.199957992,370.9137105,0.271348144,3.692200713,1358.530801,1266.30507,2624.835872,285.3168342,14.75912245,460.870003,702.7620405,4.28420749,0.6205756641,92.99536255,0.4248838084,0.3325892503,5.131686924,0.02449609869,0.4853288227,0.02449609869,0.3091264297,0.4450314971,0.0402973256,1811.950618,683.6521478,4540.821122,90.00265526,135.0378189,153.5815098,67.15589643,11.70702008,1.276959754,0.1543495717,0.2684161953,0.003142860219,0.01711442872,
2024/06/17,11:37:33,D:\Data\Riczar\10_Mountains-analysis\ConfoMap_shift-extract files\ISEA-2_STA --- ISEA-Chert-A2_LSM_20x-0.70_ventral_loc2_shift-extract_2000strokes.mnt,ISEA-Chert-A2_LSM_20x-0.70_ventral_loc2_shift-extract_2000strokes > S-filtered (Lambda-s 2.50 µm) > Leveled (LS-plane) > Form removed (LS-poly 8) > Outliers removed > Thresholded (0.100 % ; 99.9 %),100.045928,690,0.1452045399,100.045928,690,0.1452045399,0.1997479521,252.3952303,-0.9424115441,5.188851317,788.8243363,1272.565581,2061.389917,187.540249,84.03910197,268.6226175,647.6668231,4.483820115,0.6073139843,129.0053137,0.4248838084,0.1547683124,1.159198644,0.01083257014,0.2794753809,0.01083257014,0.1963810723,0.2361548022,0.04332057876,1625.739361,389.5634191,3213.784658,134.9910763,116.44457,89.9988453,62.84374932,1.843264857,6.68060102,0.4568285189,1.021401229,0.001568285719,0.01787131382,
2024/06/17,11:37:47,D:\Data\Riczar\10_Mountains-analysis\ConfoMap_shift-extract files\ISEA-2_STA --- ISEA-Chert-A3_LSM_20x-0.70_dorsal_loc1_shift-extract_0strokes.mnt,ISEA-Chert-A3_LSM_20x-0.70_dorsal_loc1_shift-extract_0strokes > S-filtered (Lambda-s 2.50 µm) > Leveled (LS-plane) > Form removed (LS-poly 8) > Outliers removed > Thresholded (0.100 % ; 99.9 %),100.045928,690,0.1452045399,100.045928,690,0.1452045399,0.1997479521,502.5025797,0.279517562,3.305544674,1756.837641,1489.123596,3245.961237,393.8349805,6.98939542,628.7490966,922.7276401,5.508086441,0.762749139,86.98449446,0.4248838084,0.3677099227,6.206777778,0.03172212387,0.6604753096,0.03172212387,0.4442886149,0.6094705017,0.0510048079,2130.034454,807.6502422,4502.139867,44.97403978,90.00580005,135.0052316,88.09891294,13.33755058,1.198221959,0.1181074219,0.2776455108,0.001946620476,0.01800013184,
2024/06/17,11:38:00,D:\Data\Riczar\10_Mountains-analysis\ConfoMap_shift-extract files\ISEA-2_STA --- ISEA-Chert-A3_LSM_20x-0.70_dorsal_loc1_shift-extract_2000strokes.mnt,ISEA-Chert-A3_LSM_20x-0.70_dorsal_loc1_shift-extract_2000strokes > S-filtered (Lambda-s 2.50 µm) > Leveled (LS-plane) > Form removed (LS-poly 8) > Outliers removed > Thresholded (0.100 % ; 99.9 %),100.045928,690,0.1452045399,100.045928,690,0.1452045399,0.2001680319,125.6893978,-1.888692716,11.83801217,433.6089774,843.8239833,1277.432961,77.42042584,99.2331634,122.8499196,355.9842084,4.848556549,0.5449602593,137.505951,0.4248838084,0.07030744532,0.2401689342,0.006648246641,0.1295023544,0.006648246641,0.06672195179,0.1059660101,0.02353634435,896.4890413,153.5178349,3405.007743,179.9929227,134.9977465,90.02168175,57.89056947,0.3728070956,9.787125315,0.3528760475,3.633612622,0.003743922414,0.01924114914,
2024/06/17,11:38:14,D:\Data\Riczar\10_Mountains-analysis\ConfoMap_shift-extract files\ISEA-2_STA --- ISEA-Chert-A3_LSM_20x-0.70_dorsal_loc2_shift-extract_0strokes.mnt,ISEA-Chert-A3_LSM_20x-0.70_dorsal_loc2_shift-extract_0strokes > S-filtered (Lambda-s 2.50 µm) > Leveled (LS-plane) > Form removed (LS-poly 8) > Outliers removed > Thresholded (0.100 % ; 99.9 %),100.045928,690,0.1452045399,100.045928,690,0.1452045399,0.1995379122,599.100478,0.08974298714,3.50781157,2010.126883,2009.020619,4019.147502,463.3590872,4.852014596,739.1954971,1187.129788,5.588307178,0.5677660888,39.24640192,0.4248838084,0.3830320002,6.660496598,0.03564980984,0.7748458018,0.03564980984,0.4998923364,0.7026614475,0.07218435433,2473.563216,888.8310919,4461.617652,44.98642372,0.01985635398,89.97689608,66.72893253,14.09717401,1.360871583,0.2041451641,0.2682415241,0.002067314622,0.01823315539,
2024/06/17,11:38:28,D:\Data\Riczar\10_Mountains-analysis\ConfoMap_shift-extract files\ISEA-2_STA --- ISEA-Chert-A3_LSM_20x-0.70_dorsal_loc2_shift-extract_2000strokes.mnt,ISEA-Chert-A3_LSM_20x-0.70_dorsal_loc2_shift-extract_2000strokes > S-filtered (Lambda-s 2.50 µm) > Leveled (LS-plane) > Form removed (LS-poly 8) > Outliers removed > Thresholded (0.100 % ; 99.9 %),100.045928,690,0.1452045399,100.045928,690,0.1452045399,0.199957992,199.5635967,-1.120497877,7.762554568,668.4935241,1084.404733,1752.898257,129.239044,94.71587063,208.7329033,542.1454269,5.244488787,0.881844915,132.7281267,0.4248838084,0.1218918794,0.711361843,0.01201155952,0.2207375755,0.01201155952,0.1125514935,0.1833078897,0.0374296858,1257.86701,311.296687,3424.613468,135.0085867,44.98626122,89.99667142,84.37739423,1.161016146,2.571677478,1.735702442,5.440934523,0.001811826293,0.01782883288,
